"SiteNumber"	"Type"	"LocationID"	"EffectiveDate"	"Region"	"DistrictOffice"	"State"	"StateName"	"County"	"CountyState"	"City"	"FacilityName"	"Ownership"	"Use"	"Owner"	"OwnerAddress"	"OwnerCSZ"	"OwnerPhone"	"Manager"	"ManagerAddress"	"ManagerCSZ"	"ManagerPhone"	"ARPLatitude"	"ARPLatitudeS"	"ARPLongitude"	"ARPLongitudeS"	"ARPMethod"	"ARPElevation"	"ARPElevationMethod"	"MagneticVariation"	"MagneticVariationYear"	"TrafficPatternAltitude"	"ChartName"	"DistanceFromCBD"	"DirectionFromCBD"	"LandAreaCoveredByAirport"	"BoundaryARTCCID"	"BoundaryARTCCComputerID"	"BoundaryARTCCName"	"ResponsibleARTCCID"	"ResponsibleARTCCComputerID"	"ResponsibleARTCCName"	"TieInFSS"	"TieInFSSID"	"TieInFSSName"	"AirportToFSSPhoneNumber"	"TieInFSSTollFreeNumber"	"AlternateFSSID"	"AlternateFSSName"	"AlternateFSSTollFreeNumber"	"NOTAMFacilityID"	"NOTAMService"	"ActiviationDate"	"AirportStatusCode"	"CertificationTypeDate"	"FederalAgreements"	"AirspaceDetermination"	"CustomsAirportOfEntry"	"CustomsLandingRights"	"MilitaryJointUse"	"MilitaryLandingRights"	"InspectionMethod"	"InspectionGroup"	"LastInspectionDate"	"LastOwnerInformationDate"	"FuelTypes"	"AirframeRepair"	"PowerPlantRepair"	"BottledOxygenType"	"BulkOxygenType"	"LightingSchedule"	"BeaconSchedule"	"ATCT"	"UNICOMFrequencies"	"CTAFFrequency"	"SegmentedCircle"	"BeaconColor"	"NonCommercialLandingFee"	"MedicalUse"	"SingleEngineGA"	"MultiEngineGA"	"JetEngineGA"	"HelicoptersGA"	"GlidersOperational"	"MilitaryOperational"	"Ultralights"	"OperationsCommercial"	"OperationsCommuter"	"OperationsAirTaxi"	"OperationsGALocal"	"OperationsGAItin"	"OperationsMilitary"	"OperationsDate"	"AirportPositionSource"	"AirportPositionSourceDate"	"AirportElevationSource"	"AirportElevationSourceDate"	"ContractFuelAvailable"	"TransientStorage"	"OtherServices"	"WindIndicator"
50009.*A	AIRPORT	'ADK	08/22/2013	AAL	NONE	AK	ALASKA	ALEUTIANS WEST	AK	ADAK ISLAND	ADAK	PU	PU	STATE OF ALASKA-DOTPF-CENTRAL RGN	P O BOX 196900	ANCHORAGE, AK 99519	    907-269-0751	VINCE TUTIAKOFF	P O BOX 1952	ADAK, AK 99546	    907-592-8026	51-52-40.6700N	186760.6700N	176-38-45.7100W	635925.7100W	E	18	S	07E	2000		W ALEUTIAN ISLS	0	W		ZAN	ZAN	ANCHORAGE	ZAP	ZAP	ANCHORAGE OCEANIC	N	CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	ADK	Y	04/01/1949	O	I A S 04/2005	N	NO OBJECTION	N	N	N	Y	F	F	09202012	01081991	A1	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		122.900	Y	CG			0	0	0	0				212		0	0	100	28	01/01/2012						HGR	CARGO	Y
50034.*A	AIRPORT	'ANC	08/22/2013	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	TED STEVENS ANCHORAGE INTL	PU	PU	STATE OF ALASKA DOTPF	BOX 196960	ANCHORAGE, AK 99519-6960	    907-266-2525	JOHN PARROTT	BOX 196960	ANCHORAGE, AK 99519-6960	    907-266-2525	61-10-26.7000N	220226.7000N	149-59-53.5000W	539993.5000W	E	151	S	19E	2010		ANCHORAGE	4	SW	 4608	ZAN	ZAN	ANCHORAGE				N	ENA	KENAI	800-478-3576	1-866-864-1737				ANC	Y	11/01/1951	O	I E S 04/2005	NGSY	NO OBJECTION	N	Y	N	Y	F	F	12072012		100  100LLA    A1	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.950		N	CG	Y		8	62	16	11	1	0		102653		80980	8546	76774	2215	12/01/2012	3RD PARTY SURVEY	2012-04-09 00:00:00.0	3RD PARTY SURVEY	2012-04-09 00:00:00.0		HGR,TIE	CARGO	Y-L
50054.3*A	AIRPORT	'BRW	08/22/2013	AAL	NONE	AK	ALASKA	NORTH SLOPE	AK	BARROW	WILEY POST-WILL ROGERS MEMORIAL	PU	PU	ST OF AK DOTPF NOR REG	2301 PEGER RD	FAIRBANKS, AK 99701	    907-451-2206	JOHN OLSEN	PO BOX 367	BARROW, AK 99723	    907-852-6199	71-17-05.6000N	256625.6000N	156-46-06.9000W	564366.9000W	E	52	S	19E	2010		POINT BARROW	0	SE		ZAN	ZAN	ANCHORAGE				Y	BRW	BARROW	907-852-2511	LC852-2511	FAI	FAIRBANKS	1-866-248-6516	BRW	Y		O	I B S 03/2005	NGSY	NO OBJECTION	N	N	N	Y	F	F	09072012		100LLA1	MINOR	MINOR	NONE	NONE	SEE RMK	SEE RMK	N		123.600	Y	CG	N		3	1	1	3				1460		6000	3000	1500	50	01/01/2012	3RD PARTY SURVEY	2009-04-18 00:00:00.0	3RD PARTY SURVEY	2009-04-18 00:00:00.0		HGR	CARGO	Y-L
50061.1*A	AIRPORT	'BET	08/22/2013	AAL	NONE	AK	ALASKA	BETHEL	AK	BETHEL	BETHEL	PU	PU	STATE OF AK DOTPF-CENTRAL RGN	PO BOX 196900	ANCHORAGE, AK 99519-6900	    907-269-0747	DAVID CUMMINGS	BOX 505	BETHEL, AK 99559	    907-543-2495	60-46-42.8000N	218802.8000N	161-50-13.8000W	582613.8000W	E	128	S	14E	2010		MC GRATH	3	SW	 1056	ZAN	ZAN	ANCHORAGE				N	ENA	KENAI	800-478-3576	1-866-864-1737				BET	Y	11/01/1958	O	I A S 04/2005	N	NO OBJECTION					F	F	06282013		100  100LLA    A1	MINOR	MINOR			SEE RMK	SS-SR	Y		118.700	Y	CG			209	17		4		2		5195		65857	7140	42438	1370	12/31/2013	3RD PARTY SURVEY	2011-06-30 00:00:00.0	3RD PARTY SURVEY	2011-06-30 00:00:00.0		HGR,TIE	CARGO	Y-L
50114.*A	AIRPORT	'CDB	08/22/2013	AAL	NONE	AK	ALASKA	ALEUTIANS EAST	AK	COLD BAY	COLD BAY	PU	PU	STATE OF AK DOTPF-CENTRAL RGN	POUCH 196900	ANCHORAGE, AK 99519-6900	    907-269-0749	JEFF DOERNING	BOX 97	COLD BAY, AK 99571	    907-532-5000	55-12-18.9425N	198738.9425N	162-43-28.2778W	585808.2778W	E	102	E	12E	2015		COLD BAY	0	N		ZAN	ZAN	ANCHORAGE				Y	CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	CDB	Y	04/01/1949	O	I B S 04/2005	NGPY	NO OBJECTION	N	Y	N	Y	F	F	05182011		100LLA	MINOR	MINOR	NONE		SEE RMK	SEE RMK	N		123.600	Y	CG	N		0	0	0	0				2670		5840	150	50	500	01/01/2011	FAA-EST	2012-12-15 00:00:00.0	FAA	2013-01-30 00:00:00.0		HGR	CARGO	Y
50124.*A	AIRPORT	'CDV	08/22/2013	AAL	NONE	AK	ALASKA	CORDOVA-MCCARTHY	AK	CORDOVA	MERLE K (MUDHOLE) SMITH	PU	PU	DOT NOTHERN REGION	2301 PEGER ROAD	FAIRBANKS, AK 99709	    907-451-5250	ROB MATTSON	BOX 598	CORDOVA, AK 99574	    907-424-3202	60-29-30.4000N	217770.4000N	145-28-39.2000W	523719.2000W	E	54	S	19E	2015		ANCHORAGE	11	SE	 2959	ZAN	ZAN	ANCHORAGE				N	JNU	JUNEAU	907-789-7380	1-800-WX-BRIEF				CDV	Y	01/01/1949	O	I B S 04/2005	NGPSY	NO OBJECTION	N	N	N	Y	F	F	06072012			NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		123.600	Y	CG	N		28			2				2540		4000	4500	2000	1000	01/01/2012	NGS	2005-06-09 00:00:00.0	NGS	2005-06-09 00:00:00.0		TIE	CARGO	Y-L
50140.7*A	AIRPORT	'SCC	08/22/2013	AAL	NONE	AK	ALASKA	NORTH SLOPE	AK	DEADHORSE	DEADHORSE	PU	PU	ST OF AK DOTPF NOR REG	2301 PEGER RD	FAIRBANKS, AK 99709	    907-451-2200	TIM PARAULT	POUCH 340002	PRUDHOE BAY, AK 99734	    907-659-2553	70-11-43.9651N	252703.9651N	148-27-56.8444W	534476.8444W	E	67	S	23E	2010		POINT BARROW	0	SE	 6506	ZAN	ZAN	ANCHORAGE				Y	SCC	DEADHORSE	907-659-2505	LC659-2401	FAI	FAIRBANKS	1-866-248-6516	SCC	Y	04/01/1970	O	I B S 03/2005	NGY	NO OBJECTION	N	N	N	Y	F	F	06142013		100  B    MOGAS	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N	123.000	123.600	Y	CG	N		3	2		5				16060		4576	9126	3000	150	12/12/2012	FAA	2012-10-31 00:00:00.0	3RD PARTY SURVEY	2009-08-15 00:00:00.0			CARGO	Y-L
50153.*A	AIRPORT	'DLG	08/22/2013	AAL	NONE	AK	ALASKA	BRISTOL BAY	AK	DILLINGHAM	DILLINGHAM	PU	PU	STATE OF AK DOTPF-CENTRAL RGN	P O BOX 196900	ANCHORAGE, AK 99519-6900	    907-269-0751	NORMAN HEYANO	BOX 250	DILLINGHAM, AK 99576	    907-842-5511	59-02-40.8000N	212560.8000N	158-30-19.8000W	570619.8000W	E	82	S	15E	2010		KODIAK	2	W	  620	ZAN	ZAN	ANCHORAGE				Y	DLG	DILLINGHAM	907-842-5275	LC842-5275	ENA	KENAI	1-866-864-1737	DLG	Y	11/01/1950	O	I A S 05/1973	NGSY	NO OBJECTION	N	N	N	Y	F	F	09212012	07191994	100LLA	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N		123.600	Y	CG			34	6		1				1323		36489	2083	10986	11	12/31/2011	3RD PARTY SURVEY	2012-07-12 00:00:00.0	3RD PARTY SURVEY	2012-07-12 00:00:00.0		TIE	CARGO	Y
50219.*A	AIRPORT	'FAI	08/22/2013	AAL	NONE	AK	ALASKA	FAIRBANKS NORTH STAR	AK	FAIRBANKS	FAIRBANKS INTL	PU	PU	STATE OF ALASKA DOTPF	6450 AIRPORT WAY - SUITE 1	FAIRBANKS, AK 99709	    907-474-2500	JESSE VANDERZANDEN	6450 AIRPORT WAY - SUITE 1	FAIRBANKS, AK 99709	    907-474-2500	64-48-54.4000N	233334.4000N	147-51-23.2000W	532283.2000W	E	439	S	21E	2010		FAIRBANKS	3	SW	 3470	ZAN	ZAN	ANCHORAGE				Y	FAI	FAIRBANKS	907-474-0137	1-866-248-6516				FAI	Y	06/01/1951	O	I C S 03/2005	NGSY	NO OBJECTION	N	Y	N	Y	F	F	09142012		100LLA1	MAJOR	MAJOR	NONE	HIGH/LOW		SS-SR	Y			N	CG	Y		498	49	6	1				10887		37678	33145	36605	2830	01/01/2012	3RD PARTY SURVEY	2011-06-08 00:00:00.0	3RD PARTY SURVEY	2011-06-08 00:00:00.0		HGR	CARGO	Y-L
50257.5*A	AIRPORT	'GBH	08/22/2013	AAL	NONE	AK	ALASKA	NOME	AK	GALBRAITH LAKE	GALBRAITH LAKE	PU	PU	STATE OF ALASKA DOTPF	2301 PEGER RD	FAIRBANKS, AK 99701	    907-451-2207	CASEY AHKVALUK, AVIATION COORINATOR	P.O. BOX 196660, MS 530B	ANCHORAGE, AK 99512	    907-787-8964	68-28-46.8000N	246526.8000N	149-29-23.7000W	538163.7000W	E	2663	S	22E	2010		POINT BARROW	2	N		ZAN	ZAN	ANCHORAGE				N	FAI	FAIRBANKS	907-474-0137	1-866-248-6516				GBH	Y	01/01/1971	O	IV A U 07/2008	N	NO OBJECTION			N	Y	F	F	07212011	04211982		NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.900	Y	CG	N		0	0	0	0				26		175	90	60		07/01/2011	3RD PARTY SURVEY	2006-06-21 00:00:00.0	3RD PARTY SURVEY	2006-06-21 00:00:00.0			CARGO	Y-L
